draft_year,draft_section,draft_section_name,overall_draft_pick,draft_section_pick,draft_section_round,draft_team_name,player_id,player_first_name,player_last_name,player_photo_url,player_position,player_last_team
2023,1,Offensive Skill,23,23,3,Arlington Renegades,21707,Lujuan,Winningham,,WR,Central Arkansas
2023,1,Offensive Skill,24,24,3,Houston Roughnecks,20241,Cedric,Byrd,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cedric_Byrd_20241.png,WR,Hawaii
2023,1,Offensive Skill,25,25,4,Houston Roughnecks,20229,Deontay,Burnett,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deontay_Burnett_20229.png,WR,USC
2023,1,Offensive Skill,26,26,4,Arlington Renegades,20050,Brandon,Arconado,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Arconado_20050.png,WR,Washington St
2023,1,Offensive Skill,27,27,4,Seattle Sea Dragons,21203,Jahcour,Pearson,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jahcour_Pearson_21203.png,WR,Mississippi
2023,1,Offensive Skill,28,28,4,Vegas Vipers,21259,Sean,Price,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Sean_Price_21259.png,TE,South Florida
2023,1,Offensive Skill,29,29,4,Orlando Guardians,20105,Ryan,Becker,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ryan_Becker_20105.png,TE,SMU
2023,1,Offensive Skill,30,30,4,San Antonio Brahmas,21568,Jalen,Tolliver,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jalen_Tolliver_21568.png,WR,Arkansas-Monticello
2023,1,Offensive Skill,31,31,4,St. Louis Battlehawks,21856,Mataeo,Durant,,RB,Duke
2023,1,Offensive Skill,32,32,4,D.C. Defenders,20474,Jazz,Ferguson,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jazz_Ferguson_20474.png,WR,Northwestern St
2023,1,Offensive Skill,33,33,5,D.C. Defenders,21983,Briley,Moore-McKinney,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Briley_Moore-Mckinney_21983.png,TE,Kansas St
2023,1,Offensive Skill,34,34,5,St. Louis Battlehawks,21822,Darrius,Shepherd,,WR,North Dakota St
2023,1,Offensive Skill,35,35,5,San Antonio Brahmas,21770,Dylan,Parham,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dylan_Parham_21770.png,TE,North Carolina St
2023,1,Offensive Skill,36,36,5,Orlando Guardians,20997,Jah-Maine,Martin,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jah-Maine_Martin_20997.png,RB,North Carolina A&T
2023,1,Offensive Skill,37,37,5,Vegas Vipers,20846,Matt,Jones,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Matt_Jones_20846.png,RB,Florida
2023,1,Offensive Skill,38,38,5,Seattle Sea Dragons,21871,Brenden,Knox,,RB,Marshall
2023,1,Offensive Skill,39,39,5,Arlington Renegades,20502,Keith,Ford,,RB,Texas A&M
2023,1,Offensive Skill,40,40,5,Houston Roughnecks,21441,Justin,Smith,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Justin_Smith_21441_1.png,WR,Norfolk St
2023,1,Offensive Skill,41,41,6,Houston Roughnecks,20149,Max,Borghi,,RB,Washington St
2023,1,Offensive Skill,42,42,6,Arlington Renegades,20123,Shaun,Beyer,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Shaun_Beyer_20123.png,TE,Iowa
2023,1,Offensive Skill,43,43,6,Seattle Sea Dragons,21695,Damion,Willis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Damion_Willis_21695.png,WR,Troy
2023,1,Offensive Skill,44,44,6,Vegas Vipers,20072,Jeff,Badet,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jeff_Badet_20072.png,WR,Oklahoma
2023,1,Offensive Skill,45,45,6,Orlando Guardians,20242,Dontez,Byrd,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dontez_Byrd_20242.png,WR,Tennessee Tech
2023,1,Offensive Skill,46,46,6,San Antonio Brahmas,22034,Kalen,Ballage,,RB,Arizona St
2023,1,Offensive Skill,47,47,6,St. Louis Battlehawks,20688,Brian,Hill,,RB,Wyoming
2023,1,Offensive Skill,48,48,6,D.C. Defenders,20053,Ryquell,Armstead,,RB,Temple
2023,1,Offensive Skill,49,49,7,D.C. Defenders,21685,Pooka,Williams,,RB,Kansas
2023,1,Offensive Skill,50,50,7,St. Louis Battlehawks,21546,Jordan,Thomas,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Thomas_21546.png,TE,Mississippi St
2023,1,Offensive Skill,51,51,7,San Antonio Brahmas,21765,Alize,Mack,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Alize_Mack_21765.png,TE,Notre Dame
2023,1,Offensive Skill,52,52,7,Orlando Guardians,20357,Devin,Darrington,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Devin_Darrington_20357.png,RB,Virginia
2023,1,Offensive Skill,53,53,7,Vegas Vipers,20975,Isiah,Macklin,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Isiah_Macklin_20975.png,WR,NC Central
2023,1,Offensive Skill,54,54,7,Seattle Sea Dragons,20367,Rashard,Davis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Rashard_Davis_20367.png,WR,James Madison
2023,1,Offensive Skill,55,55,7,Arlington Renegades,21497,JaCorey,Sullivan,,WR,Central Michigan
2023,1,Offensive Skill,56,56,7,Houston Roughnecks,20896,Jontre,Kirklin,,WR,Louisiana St
2023,1,Offensive Skill,57,57,8,Houston Roughnecks,21138,Aaron,Nelson,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Aaron_Nelson_21138.png,WR,Delaware Valley
2023,1,Offensive Skill,58,58,8,Arlington Renegades,20448,Alex,Ellis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Alex_Ellis_20448.png,TE,Tennessee
2023,1,Offensive Skill,59,59,8,Seattle Sea Dragons,20347,Tayvian,Cunningham,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Tayvian_Cunningham_20347.png,WR,Arizona
2023,1,Offensive Skill,60,60,8,Vegas Vipers,21882,Mathew,Sexton,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mathew_Sexton_21882.png,WR,Eastern Michigan
2023,1,Offensive Skill,61,61,8,Orlando Guardians,21071,Octayvius,Miles,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Octayvius_Miles_21071.png,WR,Alabama A&M
2023,1,Offensive Skill,62,62,8,San Antonio Brahmas,21722,Terry,Wright,,WR,Purdue
2023,1,Offensive Skill,63,63,8,St. Louis Battlehawks,20429,Donteea,Dye,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Donteea_Dye_20429.png,WR,Heidelberg
2023,1,Offensive Skill,64,64,8,D.C. Defenders,21711,Ethan,Wolf,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ethan_Wolf_21711.png,TE,Tennessee
2023,1,Offensive Skill,65,65,9,D.C. Defenders,20618,Josh,Hammond,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hammond_20618.png,WR,Florida
2023,1,Offensive Skill,66,66,9,St. Louis Battlehawks,20005,Abdul,Adams,,RB,Syracuse
2023,1,Offensive Skill,67,67,9,San Antonio Brahmas,21898,TJ,Vasher,,WR,Texas Tech
2023,1,Offensive Skill,68,68,9,Orlando Guardians,21445,Patrick,Smith,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Patrick_Smith_21445.png,WR,Tennessee St
2023,1,Offensive Skill,69,69,9,Vegas Vipers,21570,DeAndre,Torrey,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deandre_Torrey_21570.png,RB,North Texas
2023,1,Offensive Skill,70,70,9,Seattle Sea Dragons,21771,Joshua,Perkins,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Joshua_Perkins_21771.png,TE,Washington
2023,1,Offensive Skill,71,71,9,Arlington Renegades,20048,Jackson,Anthrop,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jackson_Anthrop_20048.png,WR,Purdue
2023,1,Offensive Skill,72,72,9,Houston Roughnecks,21311,Darece,Roberson,,WR,Wayne St-Mi
2023,1,Offensive Skill,73,73,10,Houston Roughnecks,20240,B.J.,Byrd,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Balewa_Byrd_20240.png,WR,Morehead St
2023,1,Offensive Skill,74,74,10,Arlington Renegades,21903,Dexter,Williams,,RB,Notre Dame
2023,1,Offensive Skill,75,75,10,Seattle Sea Dragons,22016,Scottie,Phillips,,RB,Mississippi
2023,1,Offensive Skill,76,76,10,Vegas Vipers,20131,Saeed,Blacknall,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Saeed_Blacknall_20131.png,WR,Penn St
2023,1,Offensive Skill,77,77,10,Orlando Guardians,20051,Dieuly,Aristilde,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dieuly_Aristilde_20051.png,WR,Bethel-Tn
2023,1,Offensive Skill,78,78,10,San Antonio Brahmas,20856,Travis,Jonsen,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travis_Jonsen_20856.png,WR,Montana St
2023,1,Offensive Skill,79,79,10,St. Louis Battlehawks,20651,Jovani,Haskins,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jovani_Haskins_20651.png,TE,Rutgers
2023,1,Offensive Skill,80,80,10,D.C. Defenders,22003,Kahale,Warring,,TE,San Diego St
2023,1,Offensive Skill,81,81,11,D.C. Defenders,20766,Lucky,Jackson,,WR,Western Kentucky
2023,1,Offensive Skill,82,82,11,St. Louis Battlehawks,21263,Austin,Proehl,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Austin_Proehl_21263.png,WR,North Carolina
2023,1,Offensive Skill,83,83,11,San Antonio Brahmas,20564,Deandre,Goolsby,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deandre_Goolsby_20564.png,TE,Florida
2023,1,Offensive Skill,84,84,11,Orlando Guardians,20929,Cody,Latimer,,WR,Indiana
2023,1,Offensive Skill,85,85,11,Vegas Vipers,20600,Grayson,Gunter,,TE,Southern Miss
2023,1,Offensive Skill,86,86,11,Seattle Sea Dragons,21284,Jaylon,Redd,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jaylon_Redd_21284.png,WR,Oregon
2023,1,Offensive Skill,87,87,11,Arlington Renegades,21426,Jordan,Smallwood,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Smallwood_21426.png,WR,Oklahoma
2023,1,Offensive Skill,88,88,11,Houston Roughnecks,20033,Brycen,Alleyne,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brycen_Alleyne_20033.png,RB,Delaware St
2023,2,Defensive Backs,89,1,12,Orlando Guardians,20713,C.J.,Holmes,,DB,Jackson St
2023,2,Defensive Backs,90,2,12,San Antonio Brahmas,20087,Luq,Barcoo,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Luq_Barcoo_20087.png,DB,San Diego St
2023,2,Defensive Backs,91,3,12,St. Louis Battlehawks,20381,Ben,Deluca,,DB,UNC-Charlotte
2023,2,Defensive Backs,92,4,12,D.C. Defenders,21114,Parnell,Motley,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Parnell_Motley_21114.png,DB,Oklahoma
2023,2,Defensive Backs,93,5,12,Houston Roughnecks,21536,Raleigh,Texada,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Raleigh_Texada_21536.png,DB,Baylor
2023,2,Defensive Backs,94,6,12,Arlington Renegades,20099,De Vante,Bausby,,DB,Pittsburg St-KS
2023,2,Defensive Backs,95,7,12,Seattle Sea Dragons,20836,Chris,Jones,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Chris_Jones_20836.png,DB,Nebraska
2023,2,Defensive Backs,96,8,12,Vegas Vipers,21943,Keylon,Kennedy,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Keylon_Kennedy_21943.png,DB,Garden City CC
2023,2,Defensive Backs,97,9,13,Vegas Vipers,21867,Jameson,Houston,,DB,Baylor
2023,2,Defensive Backs,98,10,13,Seattle Sea Dragons,21919,Antoine,Brooks,,DB,Maryland
2023,2,Defensive Backs,99,11,13,Arlington Renegades,20654,Josh,Hawkins,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hawkins_20654.png,DB,East Carolina
2023,2,Defensive Backs,100,12,13,Houston Roughnecks,20633,Ajene,Harris,,DB,USC
2023,2,Defensive Backs,101,13,13,D.C. Defenders,21133,DeJuan,Neal,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Dejuan_Neal_21133.png,DB,Shepherd
2023,2,Defensive Backs,102,14,13,St. Louis Battlehawks,21493,Channing,Stribling,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Channing_Stribling_21493.png,DB,Michigan
2023,2,Defensive Backs,103,15,13,San Antonio Brahmas,21609,Kary,Vincent Jr.,,DB,Louisiana St
2023,2,Defensive Backs,104,16,13,Orlando Guardians,22005,Javaris,Davis,,DB,Auburn
2023,2,Defensive Backs,105,17,14,Orlando Guardians,22020,Dee,Virgin,,DB,West Alabama
2023,2,Defensive Backs,106,18,14,San Antonio Brahmas,20140,Bubba,Bolden,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Bubba_Bolden_20140.png,DB,Miami-Fl
2023,2,Defensive Backs,107,19,14,St. Louis Battlehawks,21996,Quenton,Meeks,,DB,Stanford
2023,2,Defensive Backs,108,20,14,D.C. Defenders,20873,Anthoula,Kelly,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Anthoula_Kelly_20873.png,DB,Fresno St
2023,2,Defensive Backs,109,21,14,Houston Roughnecks,20675,A.J.,Hendy,,DB,Maryland
2023,2,Defensive Backs,110,22,14,Arlington Renegades,20693,Will,Hill,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Will_Hill_20693.png,DB,Florida
2023,2,Defensive Backs,111,23,14,Seattle Sea Dragons,21963,Linden,Stephens,,DB,Cincinnati
2023,2,Defensive Backs,112,24,14,Vegas Vipers,21444,Maurice,Smith,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Maurice_Smith_21444.png,DB,Georgia
2023,2,Defensive Backs,113,25,15,Vegas Vipers,21753,Mister,Harriel,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Mister_Harriel_21753.png,DB,Cal St-Sacramento
2023,2,Defensive Backs,114,26,15,Seattle Sea Dragons,20369,Shabari,Davis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Shabari_Davis_20369.png,DB,Southeast Missouri St
2023,2,Defensive Backs,115,27,15,Arlington Renegades,21142,Robert,Nelson,,DB,Arizona St
2023,2,Defensive Backs,116,28,15,Houston Roughnecks,20604,Devin,Hafford,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Devin_Hafford_20604.png,DB,Tarleton St
2023,2,Defensive Backs,117,29,15,D.C. Defenders,20180,Kentrell,Brice,,DB,Louisiana Tech
2023,2,Defensive Backs,118,30,15,St. Louis Battlehawks,21389,Brandon,Sebastian,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Sebastian_21389.png,DB,Boston College
2023,2,Defensive Backs,119,31,15,San Antonio Brahmas,20840,Elijah,Jones,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Elijah_Jones_20840.png,DB,Oregon St
2023,2,Defensive Backs,120,32,15,Orlando Guardians,20942,Mike,Lee,,DB,Kansas
2023,2,Defensive Backs,121,33,16,Orlando Guardians,20314,Antwan,Collier,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Antwan_Collier_20314.png,DB,Florida A&M
2023,2,Defensive Backs,122,34,16,San Antonio Brahmas,20144,Abrae,Booker-Currin,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Abrae_Booker-Currin_20144.png,DB,Adams St
2023,2,Defensive Backs,123,35,16,St. Louis Battlehawks,20477,Evan,Fields,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Evan_Fields_20477.png,DB,Arizona St
2023,2,Defensive Backs,124,36,16,D.C. Defenders,20029,Joshua,Allen,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Joshua_Allen_20029.png,DB,Miami-Oh
2023,2,Defensive Backs,125,37,16,Houston Roughnecks,22032,Alexander,Myres,,DB,Houston
2023,2,Defensive Backs,126,38,16,Arlington Renegades,20212,Shakur,Brown,,DB,Michigan St
2023,2,Defensive Backs,127,39,16,Seattle Sea Dragons,21961,Reggie,Robinson,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Reggie_Robinson_21961.png,DB,Tulsa
2023,2,Defensive Backs,128,40,16,Vegas Vipers,20690,Nijuel,Hill,,DB,Delaware
2023,2,Defensive Backs,129,41,17,Vegas Vipers,21228,Nick,Pickett,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nick_Pickett_21228.png,DB,Oregon
2023,2,Defensive Backs,130,42,17,Seattle Sea Dragons,21170,Kareem,Orr,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kareem_Orr_21170.png,DB,Tennessee-Chatt
2023,2,Defensive Backs,131,43,17,Arlington Renegades,20951,Cameron,Lewis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cameron_Lewis_20951.png,DB,Louisiana St
2023,2,Defensive Backs,132,44,17,Houston Roughnecks,21567,Kevin,Toliver,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kevin_Toliver_21567.png,DB,Louisiana St
2023,2,Defensive Backs,133,45,17,D.C. Defenders,20363,Cortez,Davis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cortez_Davis_20363.png,DB,Hawaii
2023,2,Defensive Backs,134,46,17,St. Louis Battlehawks,20615,Elijah,Hamilton,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Elijah_Hamilton_20615.png,DB,Louisiana Tech
2023,2,Defensive Backs,135,47,17,San Antonio Brahmas,20142,Terrell,Bonds,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Terrell_Bonds_20142.png,DB,Tennessee St
2023,2,Defensive Backs,136,48,17,Orlando Guardians,21453,Maurice,Smitherman,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Maurice_Smitherman_21453.png,DB,Mississippi St
2023,2,Defensive Backs,137,49,18,Orlando Guardians,21121,Marcus,Murphy,,DB,Mississippi St
2023,2,Defensive Backs,138,50,18,San Antonio Brahmas,20427,Coney,Durr,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Coney_Durr_20427.png,DB,Minnesota
2023,2,Defensive Backs,139,51,18,St. Louis Battlehawks,21842,Jonathan,Alexander,,DB,UNC-Charlotte
2023,2,Defensive Backs,140,52,18,D.C. Defenders,21278,Santos,Ramirez,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Santos_Ramirez_21278.png,DB,Arkansas
2023,2,Defensive Backs,141,53,18,Houston Roughnecks,21108,Jordan,Mosley,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Jordan_Mosley_21108.png,DB,Maryland
2023,2,Defensive Backs,142,54,18,Arlington Renegades,21942,Delonte,Hood,,DB,Peru St
2023,2,Defensive Backs,143,55,18,Seattle Sea Dragons,20311,Qwynnterrio,Cole,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Qwynnterrio_Cole_20311.png,DB,Louisville
2023,2,Defensive Backs,144,56,18,Vegas Vipers,21223,Antonio,Phillips,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Antonio_Phillips_21223.png,DB,Ball St
2023,2,Defensive Backs,145,57,19,Vegas Vipers,20007,Will,Adams,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Will_Adams_20007.png,DB,Virginia St
2023,2,Defensive Backs,146,58,19,Seattle Sea Dragons,20468,Rojesterman,Farris,,DB,Hawaii
2023,2,Defensive Backs,147,59,19,Arlington Renegades,21097,Rahim,Moore,,DB,UCLA
2023,2,Defensive Backs,148,60,19,Houston Roughnecks,20433,Brandon,Easterling,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Easterling_20433.png,DB,Dayton
2023,2,Defensive Backs,149,61,19,D.C. Defenders,21751,Travon,Fuller,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Travon_Fuller_21751.png,DB,Tulsa
2023,2,Defensive Backs,150,62,19,St. Louis Battlehawks,21343,D'Angelo,Ross,,DB,New Mexico
2023,2,Defensive Backs,151,63,19,San Antonio Brahmas,21761,Ryan,Lewis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Ryan_Lewis_21761.png,DB,Pittsburgh
2023,2,Defensive Backs,152,64,19,Orlando Guardians,21517,Roman,Tatum,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Roman_Tatum_21517.png,DB,Southern Illinois
2023,2,Defensive Backs,153,65,20,Orlando Guardians,20723,Najeem,Hosein,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Najeem_Hosein_20723.png,DB,Ferris St
2023,2,Defensive Backs,154,66,20,San Antonio Brahmas,21489,Cedric,Stone,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Cedric_Stone_21489.png,DB,Liberty
2023,2,Defensive Backs,155,67,20,St. Louis Battlehawks,20385,Lukas,Denis,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Lukas_Denis_20385.png,DB,Boston College
2023,2,Defensive Backs,156,68,20,D.C. Defenders,20470,Junior,Faulk,,DB,Delta St
2023,2,Defensive Backs,157,69,20,Houston Roughnecks,20935,Michael,Lawson,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Michael_Lawson_20935.png,DB,Western Illinois
2023,2,Defensive Backs,158,70,20,Arlington Renegades,20355,Abu,Daramy-Swaray,,DB,Colgate
2023,2,Defensive Backs,159,71,20,Seattle Sea Dragons,20868,Kendall,Karcz,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kendall_Karcz_20868.png,DB,St Norbert
2023,2,Defensive Backs,160,72,20,Vegas Vipers,20039,Deontay,Anderson,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Deontay_Anderson_20039.png,DB,Houston
2023,2,Defensive Backs,161,73,21,Vegas Vipers,21462,Adam,Sparks,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Adam_Sparks_21462.png,DB,Louisiana-Monroe
